NAME,SIZE,CR,TYPE,ALIGNMENT
Banditany race,Medium,1/8,Humanoid,non-lawful
Flying Snake,Tiny,1/8,Beast,unaligned
Giant Rat,Small,1/8,Beast,unaligned
Giant Weasel,Medium,1/8,Beast,unaligned
Poisonous Snake,Tiny,1/8,Beast,unaligned
Stirge,Tiny,1/8,Beast,unaligned
Tribal Warriorany race,Medium,1/8,Humanoid,any
Twig Blight,Small,1/8,Plant,neutral evil
Acolyteany race,Medium,1/4,Humanoid,any
Blink Dog,Medium,1/4,Fey,lawful good
Boar,Medium,1/4,Beast,unaligned
Constrictor Snake,Large,1/4,Beast,unaligned
Elk,Large,1/4,Beast,unaligned
Giant Badger,Medium,1/4,Beast,unaligned
Giant Bat,Large,1/4,Beast,unaligned
Giant Centipede,Small,1/4,Beast,unaligned
Giant Frog,Medium,1/4,Beast,unaligned
Giant Lizard,Large,1/4,Beast,unaligned
Giant Owl,Large,1/4,Beast,neutral
Giant Poisonous Snake,Medium,1/4,Beast,unaligned
Giant Wolf Spider,Medium,1/4,Beast,unaligned
Goblingoblinoid,Small,1/4,Humanoid,neutral evil
Kenkukenku,Medium,1/4,Humanoid,chaotic neutral
Mud Mephit,Small,1/4,Elemental,neutral evil
Needle Blight,Medium,1/4,Plant,neutral evil
Panther,Medium,1/4,Beast,unaligned
Pixie,Tiny,1/4,Fey,neutral good
Sprite,Tiny,1/4,Fey,neutral good
Swarm of Batsswarm,Medium,1/4,Beast,unaligned
Swarm of Ratsswarm,Medium,1/4,Beast,unaligned
Swarm of Ravensswarm,Medium,1/4,Beast,unaligned
Wolf,Medium,1/4,Beast,unaligned
Zombie,Medium,1/4,Undead,neutral evil
Ape,Medium,1/2,Beast,unaligned
Black Bear,Medium,1/2,Beast,unaligned
Cockatrice,Small,1/2,Monstrosity,unaligned
Giant Goat,Large,1/2,Beast,unaligned
Giant Wasp,Medium,1/2,Beast,unaligned
Gnollgnoll,Medium,1/2,Humanoid,chaotic evil
Lizardfolklizardfolk,Medium,1/2,Humanoid,neutral
Orcorc,Medium,1/2,Humanoid,chaotic evil
Satyr,Medium,1/2,Fey,chaotic neutral
Scoutany race,Medium,1/2,Humanoid,any
Swarm of Insectsswarm,Medium,1/2,Beast,unaligned
Thugany race,Medium,1/2,Humanoid,non-good
Vine Blight,Medium,1/2,Plant,neutral evil
Worg,Large,1/2,Monstrosity,neutral evil
Brown Bear,Large,1,Beast,unaligned
Bugbeargoblinoid,Medium,1,Humanoid,chaotic evil
Dire Wolf,Large,1,Beast,unaligned
Dryad,Medium,1,Fey,neutral
Faerie Dragon (orange),Tiny,1,Dragon,chaotic good
Faerie Dragon (red),Tiny,1,Dragon,chaotic good
Faerie Dragon (yellow),Tiny,1,Dragon,chaotic good
