NAME,SIZE,CR,TYPE,ALIGNMENT
Banditany race,Medium,1/8,Humanoid,non-lawful
Blood Hawk,Small,1/8,Beast,unaligned
Giant Rat,Small,1/8,Beast,unaligned
Giant Weasel,Medium,1/8,Beast,unaligned
Poisonous Snake,Tiny,1/8,Beast,unaligned
Pony,Medium,1/8,Beast,unaligned
Tribal Warriorany race,Medium,1/8,Humanoid,any
Twig Blight,Small,1/8,Plant,neutral evil
Acolyteany race,Medium,1/4,Humanoid,any
Axe Beak,Large,1/4,Beast,unaligned
Blink Dog,Medium,1/4,Fey,lawful good
Boar,Medium,1/4,Beast,unaligned
Elk,Large,1/4,Beast,unaligned
Giant Badger,Medium,1/4,Beast,unaligned
Giant Centipede,Small,1/4,Beast,unaligned
Giant Lizard,Large,1/4,Beast,unaligned
Giant Owl,Large,1/4,Beast,neutral
Giant Poisonous Snake,Medium,1/4,Beast,unaligned
Giant Wolf Spider,Medium,1/4,Beast,unaligned
Goblingoblinoid,Small,1/4,Humanoid,neutral evil
Kenkukenku,Medium,1/4,Humanoid,chaotic neutral
Needle Blight,Medium,1/4,Plant,neutral evil
Pixie,Tiny,1/4,Fey,neutral good
Sprite,Tiny,1/4,Fey,neutral good
Swarm of Ratsswarm,Medium,1/4,Beast,unaligned
Swarm of Ravensswarm,Medium,1/4,Beast,unaligned
Wolf,Medium,1/4,Beast,unaligned
Zombie,Medium,1/4,Undead,neutral evil
Black Bear,Medium,1/2,Beast,unaligned
Cockatrice,Small,1/2,Monstrosity,unaligned
Giant Goat,Large,1/2,Beast,unaligned
Gnollgnoll,Medium,1/2,Humanoid,chaotic evil
Hobgoblingoblinoid,Medium,1/2,Humanoid,lawful evil
Jackalwereshapechanger,Medium,1/2,Humanoid,chaotic evil
Lizardfolklizardfolk,Medium,1/2,Humanoid,neutral
Orcorc,Medium,1/2,Humanoid,chaotic evil
Satyr,Medium,1/2,Fey,chaotic neutral
Scoutany race,Medium,1/2,Humanoid,any
Swarm of Insectsswarm,Medium,1/2,Beast,unaligned
Thugany race,Medium,1/2,Humanoid,non-good
Vine Blight,Medium,1/2,Plant,neutral evil
Warhorse,Large,1/2,Beast,unaligned
Warhorse Skeleton,Large,1/2,Undead,lawful evil
Worg,Large,1/2,Monstrosity,neutral evil
Copper Dragon Wyrmling,Medium,1,Dragon,chaotic good
Death Dog,Medium,1,Monstrosity,neutral evil
Dire Wolf,Large,1,Beast,unaligned
