CR,NAME,SIZE,TYPE,ALIGNMENT
1/8,Cultist,Medium,Humanoid,non-good
1/8,Giant Rat,Small,Beast,unaligned
1/8,Kobold,Small,Humanoid,lawful evil
1/4,Acolyte,Medium,Humanoid,any
1/4,Drowelf,Medium,Humanoid,neutral evil
1/4,Flying Sword,Small,Construct,unaligned
1/4,Giant Bat,Large,Beast,unaligned
1/4,Giant Centipede,Small,Beast,unaligned
1/4,Giant Lizard,Large,Beast,unaligned
1/4,Giant Wolf Spider,Medium,Beast,unaligned
1/4,Goblin,Small,Humanoid,neutral evil
1/4,Grimlock,Medium,Humanoid,neutral evil
1/4,Skeleton,Medium,Undead,lawful evil
1/4,Troglodyte,Medium,Humanoid,chaotic evil
1/4,Zombie,Medium,Undead,neutral evil
1/2,Deep Gnome,Small,Humanoid,neutral good
1/2,Gnoll,Medium,Humanoid,chaotic evil
1/2,Gray Ooze,Medium,Ooze,unaligned
1/2,Lizardfolk,Medium,Humanoid,neutral
1/2,Orc,Medium,Humanoid,chaotic evil
1/2,Rust Monster,Medium,Monstrosity,unaligned
1/2,Shadow,Medium,Undead,chaotic evil
1/2,Swarm of Insects,Medium,Beast,unaligned
1,Animated Armor,Medium,Construct,unaligned
1,Bugbear,Medium,Humanoid,chaotic evil
1,Duergardwarf,Medium,Humanoid,lawful evil
1,Ghoul,Medium,Undead,chaotic evil
1,Giant Spider,Large,Beast,unaligned
1,Goblin Boss,Small,Humanoid,neutral evil
1,Half-Ogre,Large,Giant,chaotic evil
1,Impdevil,Tiny,Fiend,lawful evil
1,Quasitdemon,Tiny,Fiend,chaotic evil
1,Specter,Medium,Undead,chaotic evil
2,Carrion Crawler,Large,Monstrosity,unaligned
2,Cult Fanatic,Medium,Humanoid,non-good
2,Gargoyle,Medium,Elemental,chaotic evil
2,Ghast,Medium,Undead,chaotic evil
2,Gibbering Mouther,Medium,Aberration,neutral
2,Gnoll Pack Lord,Medium,Humanoid,chaotic evil
2,Lizardfolk Shaman,Medium,Humanoid,neutral
2,Mimic,Medium,Monstrosity,neutral
2,Ogre,Large,Giant,chaotic evil
2,Spined Devildevil,Small,Fiend,lawful evil
3,Basilisk,Medium,Monstrosity,unaligned
3,Bearded Devildevil,Medium,Fiend,lawful evil
3,Bugbear Chief,Medium,Humanoid,chaotic evil
3,Doppelganger,Medium,Monstrosity,neutral
3,Giant Scorpion,Large,Beast,unaligned
3,Hell Hound,Medium,Fiend,lawful evil
3,Minotaur,Large,Monstrosity,chaotic evil
3,Mummy,Medium,Undead,lawful evil
3,Phase Spider,Large,Monstrosity,unaligned
3,Werewolfhuman,Medium,Humanoid,chaotic evil
3,Wight,Medium,Undead,neutral evil
4,Banshee,Medium,Undead,chaotic evil
4,Black Pudding,Large,Ooze,unaligned
4,Bone Naga,Large,Undead,lawful evil
4,Flameskull,Tiny,Undead,neutral evil
4,Ghost,Medium,Undead,any
4,Helmed Horror,Medium,Construct,neutral
4,Lizard King/Queen,Medium,Humanoid,chaotic evil
4,Orc War Chief,Medium,Humanoid,chaotic evil
4,Shadow Demondemon,Medium,Fiend,chaotic evil
4,Succubus/Incubus,Medium,Fiend,neutral evil
5,Air Elemental,Large,Elemental,neutral
5,Barbed Devildevil,Medium,Fiend,lawful evil
5,Beholder Zombie,Large,Undead,neutral evil
5,Drow Elite Warriorelf,Medium,Humanoid,neutral evil
5,Earth Elemental,Large,Elemental,neutral
5,Fire Elemental,Large,Elemental,neutral
5,Flesh Golem,Medium,Construct,unaligned
5,Otyugh,Large,Aberration,neutral
5,Troll,Large,Giant,chaotic evil
5,Water Elemental,Large,Elemental,neutral
5,Wraith,Medium,Undead,neutral evil
5,Xorn,Medium,Elemental,neutral
6,Chasmedemon,Large,Fiend,chaotic evil
6,Drider,Large,Monstrosity,chaotic evil
6,Galeb Duhr,Medium,Elemental,neutral
6,Invisible Stalker,Medium,Elemental,neutral
6,Medusa,Medium,Monstrosity,lawful evil
6,Vrockdemon,Large,Fiend,chaotic evil
7,Drow Mageelf,Medium,Humanoid,neutral evil
7,Grick Alpha,Large,Monstrosity,neutral
7,Mind Flayer,Medium,Aberration,lawful evil
7,Oni,Large,Giant,lawful evil
7,Shield Guardian,Large,Construct,unaligned
8,Assassin,Medium,Humanoid,non-good
8,Chain Devildevil,Medium,Fiend,lawful evil
8,Cloaker,Large,Aberration,chaotic neutral
8,Drow Priestess of Lolthelf,Medium,Humanoid,neutral evil
8,Hydra,Huge,Monstrosity,unaligned
8,Spirit Naga,Large,Monstrosity,chaotic evil
